Datetime_hour,step,A/C Set Temperature__A-25,A/C Mode__A-25,A/C Fan Speed__A-25,A/C ON/OFF__A-25,A/C Set Temperature__A-26,A/C Mode__A-26,A/C Fan Speed__A-26,A/C ON/OFF__A-26,A/C Set Temperature__D-1南1,A/C Mode__D-1南1,A/C Fan Speed__D-1南1,A/C ON/OFF__D-1南1,A/C Set Temperature__D-2北1,A/C Mode__D-2北1,A/C Fan Speed__D-2北1,A/C ON/OFF__D-2北1,A/C Set Temperature__D-3南2,A/C Mode__D-3南2,A/C Fan Speed__D-3南2,A/C ON/OFF__D-3南2,A/C Set Temperature__D-4北2,A/C Mode__D-4北2,A/C Fan Speed__D-4北2,A/C ON/OFF__D-4北2,A/C Set Temperature__D-5南1,A/C Mode__D-5南1,A/C Fan Speed__D-5南1,A/C ON/OFF__D-5南1,A/C Set Temperature__D-6北1,A/C Mode__D-6北1,A/C Fan Speed__D-6北1,A/C ON/OFF__D-6北1,A/C Set Temperature__D-7南2,A/C Mode__D-7南2,A/C Fan Speed__D-7南2,A/C ON/OFF__D-7南2,A/C Set Temperature__D-8北2,A/C Mode__D-8北2,A/C Fan Speed__D-8北2,A/C ON/OFF__D-8北2,A/C Set Temperature__E-10南2,A/C Mode__E-10南2,A/C Fan Speed__E-10南2,A/C ON/OFF__E-10南2,A/C Set Temperature__E-11南3,A/C Mode__E-11南3,A/C Fan Speed__E-11南3,A/C ON/OFF__E-11南3,A/C Set Temperature__E-12南4,A/C Mode__E-12南4,A/C Fan Speed__E-12南4,A/C ON/OFF__E-12南4,A/C Set Temperature__E-13北1,A/C Mode__E-13北1,A/C Fan Speed__E-13北1,A/C ON/OFF__E-13北1,A/C Set Temperature__E-14北2,A/C Mode__E-14北2,A/C Fan Speed__E-14北2,A/C ON/OFF__E-14北2,A/C Set Temperature__E-15北3,A/C Mode__E-15北3,A/C Fan Speed__E-15北3,A/C ON/OFF__E-15北3,A/C Set Temperature__E-16北4,A/C Mode__E-16北4,A/C Fan Speed__E-16北4,A/C ON/OFF__E-16北4,A/C Set Temperature__E-17,A/C Mode__E-17,A/C Fan Speed__E-17,A/C ON/OFF__E-17,A/C Set Temperature__E-9南1,A/C Mode__E-9南1,A/C Fan Speed__E-9南1,A/C ON/OFF__E-9南1,A/C Set Temperature__F-18,A/C Mode__F-18,A/C Fan Speed__F-18,A/C ON/OFF__F-18,A/C Set Temperature__F-19,A/C Mode__F-19,A/C Fan Speed__F-19,A/C ON/OFF__F-19,A/C Set Temperature__F-20,A/C Mode__F-20,A/C Fan Speed__F-20,A/C ON/OFF__F-20,A/C Set Temperature__G-21,A/C Mode__G-21,A/C Fan Speed__G-21,A/C ON/OFF__G-21,A/C Set Temperature__G-22,A/C Mode__G-22,A/C Fan Speed__G-22,A/C ON/OFF__G-22,A/C Set Temperature__G-23,A/C Mode__G-23,A/C Fan Speed__G-23,A/C ON/OFF__G-23,A/C Set Temperature__G-24,A/C Mode__G-24,A/C Fan Speed__G-24,A/C ON/OFF__G-24,pred__total_kwh__41-1,pred__total_kwh__43-1,pred__total_kwh__43-2,pred__total_kwh__43-3,pred__total_kwh__43-4,pred__total_kwh__44-1,pred__total_kwh__44-2,pred__total_kwh__44-3,pred__total_kwh__44-4,pred__total_kwh__44-5,pred__total_kwh__44-6,pred__total_kwh__44-7,pred__total_kwh__44-8,pred__total_kwh__49-1,pred__total_kwh__49-2,pred__total_kwh__49-3,pred__total_kwh__49-4,pred__total_kwh__49-6,pred__total_kwh__49-7,pred__total_kwh__49-8,pred__total_kwh__49-9,pred__indoor_temp__A-25,pred__indoor_temp__A-26,pred__indoor_temp__D-1南1,pred__indoor_temp__D-2北1,pred__indoor_temp__D-3南2,pred__indoor_temp__D-4北2,pred__indoor_temp__D-5南1,pred__indoor_temp__D-6北1,pred__indoor_temp__D-7南2,pred__indoor_temp__D-8北2,pred__indoor_temp__E-10南2,pred__indoor_temp__E-11南3,pred__indoor_temp__E-12南4,pred__indoor_temp__E-13北1,pred__indoor_temp__E-14北2,pred__indoor_temp__E-15北3,pred__indoor_temp__E-16北4,pred__indoor_temp__E-17,pred__indoor_temp__E-9南1,pred__indoor_temp__F-18,pred__indoor_temp__F-19,pred__indoor_temp__F-20,pred__indoor_temp__G-21,pred__indoor_temp__G-22,pred__indoor_temp__G-23,pred__indoor_temp__G-24,reward,ret_so_far
2025-09-10 07:00:00,0,20.0,2,2,1,27,0,4,0,21.5,0,4,0,23.0,1,4,1,24,0,4,0,24.5,0,4,0,25,2,3,1,23.0,2,3,1,24.5,2,2,1,25.0,0,1,1,23,2,0,1,22.5,0,4,0,23.0,0,4,0,24.0,0,4,0,24.5,2,4,1,23.5,0,4,0,22.5,2,3,1,26.5,0,4,0,24,0,4,0,25,0,4,0,26,0,0,1,26.5,0,4,0,24.0,0,3,1,25.5,0,4,0,20.5,0,1,1,27,1,0,1,60720.7109375,26871.654296875,41161.8515625,1001.839111328125,35966.3046875,4565.13232421875,10394.185546875,20305.9375,2001.3055419921875,17823.44921875,9871.318359375,12465.9287109375,3321.762939453125,20575.537109375,4174.2705078125,1989.37109375,3186.59228515625,3183.776123046875,6514.1650390625,1682.740234375,3016.302734375,27.756290435791016,27.149887084960938,40.69878387451172,27.2605037689209,28.620758056640625,28.515708923339844,27.004405975341797,28.469728469848633,27.568937301635742,29.005582809448242,26.722410202026367,25.068952560424805,28.41323471069336,25.196022033691406,26.070852279663086,24.618379592895508,24.728654861450195,27.43604850769043,27.336042404174805,27.057369232177734,28.029932022094727,30.535398483276367,28.52450942993164,28.702816009521484,39.70133590698242,32.998863220214844,-4.3303952481016195,-4.3303952481016195
2025-09-10 08:00:00,1,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,24,0,4,0,24.5,0,4,0,26,2,3,1,23.0,2,3,1,24.5,1,2,1,26.0,0,1,1,23,2,0,1,22.5,0,4,0,24.0,0,2,1,24.0,0,4,0,24.5,0,4,1,23.5,0,4,0,22.5,2,1,1,25.5,0,4,0,24,0,4,0,25,0,4,0,26,0,0,1,26.5,0,4,0,24.0,0,1,1,24.5,0,4,0,20.5,0,1,1,27,1,0,1,48484.3828125,24159.119140625,38100.3515625,984.3089599609375,33942.47265625,5305.357421875,8158.3896484375,6847.6484375,1826.867919921875,18090.6953125,10793.0400390625,10622.599609375,3321.762939453125,13715.365234375,3546.948974609375,5968.3583984375,3316.217529296875,1876.4937744140625,6162.78173828125,941.1652221679688,2309.1162109375,26.973752975463867,27.80967903137207,38.427040100097656,26.342416763305664,27.89491081237793,28.638978958129883,26.769607543945312,28.02507972717285,27.313127517700195,28.45636749267578,26.845300674438477,24.932031631469727,27.331396102905273,25.894847869873047,25.637359619140625,24.687036514282227,24.927820205688477,28.250097274780273,27.720582962036133,27.64059829711914,28.046865463256836,30.188257217407227,28.439455032348633,27.977996826171875,35.61492156982422,29.22907257080078,-4.092588666704987,-8.422983914806608
2025-09-10 09:00:00,2,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,25.5,0,4,0,25,2,2,1,23.0,1,3,1,24.5,0,2,1,26.0,0,1,1,23,0,4,0,23.5,2,2,1,24.5,2,4,1,24.0,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,1,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,42685.453125,23160.25390625,42440.3125,917.2264404296875,26435.787109375,5163.57373046875,8745.8515625,7708.771484375,2051.21337890625,18608.06640625,9410.6201171875,11764.802734375,3321.762939453125,9982.5595703125,2566.642822265625,10127.8505859375,7894.1865234375,3138.02392578125,3634.671630859375,730.1337280273438,3541.463623046875,26.54093360900879,27.654064178466797,35.16698455810547,25.535680770874023,27.92152976989746,28.83415985107422,26.343597412109375,27.042245864868164,27.358787536621094,27.89267349243164,26.58949089050293,24.81895637512207,26.123973846435547,25.757823944091797,25.248966217041016,24.64090347290039,24.956212997436523,27.2631778717041,27.512300491333008,27.93704605102539,26.909517288208008,29.343202590942383,27.428909301757812,27.629152297973633,32.95683288574219,27.818660736083984,-3.6507359718463763,-12.073719886652984
2025-09-10 10:00:00,3,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,0,25,2,1,1,23.5,1,3,1,25.0,0,2,1,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,41304.2109375,23536.185546875,39999.984375,978.6398315429688,17233.220703125,1605.342041015625,6771.82861328125,7709.93505859375,2051.21337890625,16184.423828125,8706.3994140625,9313.595703125,3321.762939453125,7672.54296875,2343.162109375,10119.3330078125,8374.5576171875,2035.912841796875,3275.59912109375,1133.500732421875,3393.252685546875,25.301883697509766,27.35649299621582,33.18051528930664,25.39298439025879,27.744749069213867,28.729013442993164,26.051971435546875,26.544845581054688,27.31882667541504,27.51433753967285,26.591812133789062,24.723466873168945,25.35886001586914,25.389562606811523,25.319982528686523,24.216796875,24.78593635559082,27.026792526245117,27.1922607421875,27.876880645751953,26.722850799560547,28.882692337036133,26.856523513793945,27.11701202392578,30.246854782104492,27.01460838317871,-3.260960039596629,-15.334679926249613
2025-09-10 11:00:00,4,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,1,25,2,1,1,24.5,1,3,1,25.0,0,2,1,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,41540.9296875,22526.361328125,33080.6796875,978.6398315429688,21276.5078125,6952.9521484375,8269.84765625,7829.39501953125,1746.2900390625,15872.806640625,7520.1455078125,9222.77734375,3321.762939453125,8215.0517578125,1782.7242431640625,8618.103515625,7654.1220703125,929.5396118164062,3304.6796875,1075.1895751953125,3300.878662109375,24.23925018310547,26.93647003173828,31.312440872192383,25.652790069580078,27.55728530883789,27.966711044311523,25.961715698242188,26.038175582885742,27.21055030822754,27.14629364013672,26.318883895874023,24.567508697509766,24.784278869628906,25.015727996826172,25.259668350219727,24.291719436645508,24.557653427124023,26.78974723815918,26.724817276000977,27.782230377197266,26.635530471801758,28.429868698120117,26.484113693237305,26.743406295776367,28.62506103515625,26.775535583496094,-2.907363157289944,-18.242043083539556
2025-09-10 12:00:00,5,20.0,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,1,25,2,1,1,24.5,1,3,1,25.0,0,4,0,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,1,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,39536.91796875,25910.486328125,31113.189453125,615.6171875,21279.865234375,8967.1396484375,8804.9931640625,7699.71240234375,1746.2900390625,17379.931640625,8120.54833984375,8684.7919921875,3321.762939453125,7918.3427734375,1944.6456298828125,8503.595703125,7324.7236328125,1053.636962890625,3352.834228515625,983.3113403320312,3529.86181640625,23.602825164794922,26.27006721496582,30.055273056030273,25.655353546142578,27.112777709960938,27.465635299682617,25.656444549560547,25.92106056213379,26.988183975219727,26.839372634887695,25.909833908081055,24.37517738342285,24.284700393676758,24.60062599182129,25.173534393310547,24.15008544921875,24.237707138061523,26.281539916992188,26.162548065185547,27.643381118774414,26.552810668945312,28.227590560913086,26.05136489868164,26.11546516418457,26.730470657348633,26.427522659301758,-2.590195997176325,-20.83223908071588
2025-09-10 13:00:00,6,20.0,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,1,25,2,1,1,24.5,1,3,1,25.0,0,4,0,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,1,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,42059.4921875,26105.216796875,29963.46875,589.860107421875,21200.837890625,9351.0185546875,9451.6845703125,7590.91748046875,1746.2900390625,14650.8251953125,7233.83154296875,8114.2275390625,3321.762939453125,7483.244140625,2057.822998046875,8503.595703125,7282.611328125,886.47021484375,3122.038818359375,894.7274780273438,3414.032470703125,22.933223724365234,25.842227935791016,29.377052307128906,25.550907135009766,26.708189010620117,27.19672203063965,25.372358322143555,25.799915313720703,26.81175422668457,26.741493225097656,25.588186264038086,24.164575576782227,24.397907257080078,24.12186050415039,24.99106216430664,23.719890594482422,24.148441314697266,26.001747131347656,25.7016658782959,27.476896286010742,26.53743553161621,27.60634994506836,25.75914192199707,25.81526756286621,25.54425048828125,25.790603637695312,-2.3532930560531637,-23.185532136769044
2025-09-10 14:00:00,7,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,1,25,2,1,1,24.5,1,3,1,25.0,0,2,1,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,42836.48828125,24085.6640625,29354.85546875,958.9496459960938,20534.3828125,10244.2734375,9615.0673828125,7646.8779296875,1746.2900390625,12241.6015625,6190.03857421875,8294.1318359375,3321.762939453125,7205.23046875,1926.252197265625,8636.716796875,7282.611328125,866.06884765625,3430.713623046875,657.3828735351562,2655.087158203125,22.552690505981445,25.08611488342285,28.741355895996094,25.248371124267578,26.325693130493164,27.170026779174805,25.258808135986328,25.55780029296875,26.250070571899414,26.47942543029785,25.540075302124023,24.097318649291992,24.46091079711914,24.148778915405273,24.708477020263672,23.609619140625,23.997140884399414,25.573101043701172,25.170724868774414,27.281375885009766,26.4969539642334,27.483543395996094,25.29106330871582,25.385953903198242,24.88034439086914,25.318872451782227,-2.1596804400398177,-25.345212576808862
2025-09-10 15:00:00,8,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,0,25,2,1,1,24.5,1,3,1,25.0,0,2,1,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,42972.25,22510.552734375,26686.208984375,976.9876098632812,20455.59375,5564.93310546875,10117.2373046875,7095.16552734375,1746.2900390625,12119.7646484375,5918.04736328125,9639.140625,3321.762939453125,7332.396484375,1892.7744140625,8641.5732421875,7027.11767578125,902.6871337890625,3393.909912109375,679.7824096679688,2787.787841796875,22.16019058227539,24.65227508544922,28.05270004272461,25.086881637573242,25.958446502685547,27.121017456054688,25.197444915771484,25.36322784423828,25.917699813842773,26.35889434814453,25.281335830688477,24.164440155029297,24.648727416992188,24.16201400756836,24.497661590576172,23.520626068115234,23.821056365966797,25.165264129638672,24.884191513061523,27.254276275634766,26.485036849975586,27.41261100769043,25.078916549682617,25.099416732788086,24.758319854736328,24.913806915283203,-2.039209903339315,-27.384422480148178
2025-09-10 16:00:00,9,20.5,2,2,1,27,0,4,0,21.5,0,4,0,22.5,0,4,0,25,0,4,0,26.0,0,4,0,25,2,1,1,24.5,1,3,1,25.0,0,2,1,26.0,0,1,1,23,0,4,0,24.5,2,2,1,24.5,2,4,1,23.5,0,4,0,24.5,0,4,0,24.0,0,4,0,22.5,2,1,1,25.5,0,0,1,24,0,4,0,25,0,4,0,26,1,0,1,26.5,0,4,0,24.5,0,1,1,24.5,0,4,0,20.5,0,4,0,27,1,0,1,40085.953125,21887.259765625,25630.33203125,976.9876098632812,20318.494140625,5561.318359375,10194.4111328125,6693.80908203125,1746.2900390625,12143.9619140625,5654.5634765625,10133.3984375,3321.762939453125,7518.90966796875,1647.7037353515625,8312.7529296875,7657.2255859375,866.8353881835938,3223.81396484375,651.1512451171875,2804.4814453125,21.409704208374023,24.14288902282715,27.577836990356445,24.609786987304688,25.5025634765625,26.71984100341797,25.13318634033203,25.23933219909668,25.380815505981445,26.106096267700195,24.851816177368164,24.110868453979492,24.82916259765625,24.115903854370117,24.433330535888672,23.276151657104492,23.788976669311523,24.850854873657227,24.12234115600586,27.222543716430664,26.49374008178711,27.48339080810547,24.70479393005371,24.914138793945312,24.254852294921875,24.11829376220703,-1.910003452454733,-29.294425932602913
